"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1447","CONT_005 Verify message textbox is visible","webkit","2026-05-30","passed","2026-05-30","Contact Service - DemoBlaze","Contact/contact.spec.js","",""
"","653","PROD_006 Verify clicking product opens product details page","chromium","2026-05-30","passed","2026-05-30","Product Catalog Service - DemoBlaze","Product/product.spec.js","",""
"","269","NAV_003 Verify About Us link is visible","chromium","2026-05-30","passed","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","632","SESSION_006 Verify session removed after logout","chromium","2026-05-30","passed","2026-05-30","User Session Management Service - DemoBlaze","Session/session.spec.js","",""
"","2201","ORDER_004 Verify Country field accepts input","webkit","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","767","PROD_013 Verify Next button navigation","firefox","2026-05-30","passed","2026-05-30","Product Catalog Service - DemoBlaze","Product/product.spec.js","",""
"","1584","CHECKOUT_012 Verify OK button is visible after purchase","chromium","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","804","AUTH_010 Verify login with valid credentials","chromium","2026-05-30","passed","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","30078","AUTH_014 Verify login with empty password","webkit","2026-05-30","broken","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","30082","AUTH_013 Verify login with empty username","webkit","2026-05-30","broken","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","30091","AUTH_018 Verify login modal close functionality","webkit","2026-05-30","broken","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","927","SESSION_004 Verify logout button is visible","webkit","2026-05-30","passed","2026-05-30","User Session Management Service - DemoBlaze","Session/session.spec.js","",""
"","1369","PROD_006 Verify clicking product opens product details page","webkit","2026-05-30","passed","2026-05-30","Product Catalog Service - DemoBlaze","Product/product.spec.js","",""
"","1849","CART_012 Verify duplicate product addition","webkit","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","1244","ORDER_004 Verify Country field accepts input","chromium","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","805","CONT_004 Verify name textbox is visible","firefox","2026-05-30","passed","2026-05-30","Contact Service - DemoBlaze","Contact/contact.spec.js","",""
"","1212","CHECKOUT_007 Verify Month field is visible","chromium","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Checkout/checkout.spec.js","",""
"","442","CART_004 Verify cart page opens successfully","chromium","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","566","CONT_014 Verify contact modal remains visible","chromium","2026-05-30","passed","2026-05-30","Contact Service - DemoBlaze","Contact/contact.spec.js","",""
"","1606","SESSION_011 Verify session remains active after browsing products","webkit","2026-05-30","passed","2026-05-30","User Session Management Service - DemoBlaze","Session/session.spec.js","",""
"","567","NAV_012 Verify Signup modal opens","chromium","2026-05-30","passed","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","1088","AUTH_020 Verify user session persists after page refresh","chromium","2026-05-30","passed","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","1708","ORDER_004 Verify Country field accepts input","firefox","2026-05-30","passed","2026-05-30","Checkout / Order Service - DemoBlaze","Order/order.spec.js","",""
"","468","NAV_004 Verify Cart link is visible","firefox","2026-05-30","passed","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","30078","AUTH_003 Verify signup modal opens successfully","webkit","2026-05-30","broken","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","883","SESSION_003 Verify session persists during navigation","firefox","2026-05-30","passed","2026-05-30","User Session Management Service - DemoBlaze","Session/session.spec.js","",""
"","770","SESSION_011 Verify session remains active after browsing products","chromium","2026-05-30","passed","2026-05-30","User Session Management Service - DemoBlaze","Session/session.spec.js","",""
"","523","NAV_010 Verify About Us modal opens","chromium","2026-05-30","passed","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","0","NAV_005 Verify Login link is visible","chromium","2026-05-30","skipped","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","701","PROD_011 Verify category switching works correctly","firefox","2026-05-30","passed","2026-05-30","Product Catalog Service - DemoBlaze","Product/product.spec.js","",""
"","827","CONT_009 Verify user can enter message","firefox","2026-05-30","passed","2026-05-30","Contact Service - DemoBlaze","Contact/contact.spec.js","",""
"","1659","SESSION_013 Verify login button appears after logout","webkit","2026-05-30","passed","2026-05-30","User Session Management Service - DemoBlaze","Session/session.spec.js","",""
"","1537","CART_008 Verify product can be deleted from cart","webkit","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","728","CART_009 Verify deleted product is removed","firefox","2026-05-30","passed","2026-05-30","Cart Management Service - DemoBlaze","Cart/cart.spec.js","",""
"","515","CONT_005 Verify message textbox is visible","chromium","2026-05-30","passed","2026-05-30","Contact Service - DemoBlaze","Contact/contact.spec.js","",""
"","716","AUTH_004 Verify login modal opens successfully","firefox","2026-05-30","passed","2026-05-30","Authentication Service - DemoBlaze","Authentication/auth.spec.js","",""
"","273","NAV_006 Verify Sign Up link is visible","chromium","2026-05-30","passed","2026-05-30","Navigation Service - DemoBlaze","Navigation/navigation.spec.js","",""
"","557","SESSION_009 Verify session persists after multiple refreshes","chromium","2026-05-30","passed","2026-05-30","User Session Management Service - DemoBlaze","Session/session.spec.js","",""
"","722","CONT_005 Verify message textbox is visible","firefox","2026-05-30","passed","2026-05-30","Contact Service - DemoBlaze","Contact/contact.spec.js","",""
